Model,Inference Time (s),Top-1 Accuracy,Top-3 Accuracy,Top-5 Accuracy
distilbert,3147.781801700592,0,0,0
bert-base,4738.875002145767,0,0,0
roberta,3471.3698239326477,0,0,0
distilbert,,0.963302931723504,0.8310048612152386,0.6771772789798619
bert-base,,0.9658324152003703,0.8371742801076986,0.6848941593704976
roberta,,0.9652652372042688,0.8351054929341791,0.6818946352784714
