Model,Inference Time (s),Top-1 Accuracy,Top-3 Accuracy,Top-5 Accuracy
bert-base,105.54141736030579,0,0,0
roberta,63.51465344429016,0,0,0
xlnet,173.7982234954834,0,0,0
distilbert,78.10345840454102,0,0,0
bert-base,,0.8615782664941786,0.7449762828805521,0.6245795601552393
roberta,,0.8618369987063389,0.7394566623544631,0.6208020698576973
xlnet,,0.860025873221216,0.7417852522639068,0.6197153945666235
distilbert,,0.8646830530401035,0.7408365674859853,0.6163518758085382
