eurlex4k,xlnet,1724842903.5193906,88.6,54.9
eurlex4k,xlnet,1724843850.0554066,48.5,55.9
eurlex4k,xlnet,1724844796.7113335,62.9,56.1
eurlex4k,xlnet,1724845740.6227372,50.2,56.0
eurlex4k,xlnet,1724846682.423712,90.8,55.6
eurlex4k,xlnet,1724847620.5657089,48.5,58.9
eurlex4k,xlnet,1724848635.0731642,74.4,67.3
eurlex4k,xlnet,1724849681.908813,61.8,66.5
eurlex4k,xlnet,1724850715.1608229,86.6,66.2
eurlex4k,xlnet,1724851762.1326792,78.2,65.5
eurlex4k,xlnet,1724852794.9171395,55.6,65.3
eurlex4k,xlnet,1724853844.19272,58.5,66.2
eurlex4k,xlnet,1724854890.4257967,52.1,78.0
eurlex4k,xlnet,1724855938.336657,60.6,78.1
eurlex4k,xlnet,1724856985.1332924,65.8,78.3
eurlex4k,xlnet,1724858011.6335292,72.1,76.3
eurlex4k,xlnet,1724859044.5288298,87.1,79.5
eurlex4k,xlnet,1724860094.5976381,46.5,78.6
eurlex4k,xlnet,1724861129.8325999,69.7,67.8
eurlex4k,xlnet,1724862169.913151,76.0,67.6
eurlex4k,xlnet,1724863220.4985988,66.1,68.5
eurlex4k,xlnet,1724864276.6450887,75.5,68.4
eurlex4k,xlnet,1724865341.3990934,84.6,69.5
eurlex4k,xlnet,1724866267.1836963,42.8,48.7
eurlex4k,xlnet,1724867130.161314,3.0,48.0
eurlex4k,distilbert,1724893441.0908628,84.8,48.7
eurlex4k,distilbert,1724893695.4189413,92.9,49.3
eurlex4k,distilbert,1724893944.5562925,94.3,49.3
eurlex4k,distilbert,1724894191.8917875,72.6,49.3
eurlex4k,distilbert,1724894441.994776,72.7,49.4
eurlex4k,distilbert,1724894692.321162,74.9,49.3
eurlex4k,distilbert,1724894940.9411263,76.6,49.4
eurlex4k,distilbert,1724895191.6510344,79.6,49.4
eurlex4k,distilbert,1724895441.7189708,78.7,49.5
eurlex4k,distilbert,1724895692.9576414,86.1,49.6
eurlex4k,distilbert,1724895943.8091724,91.5,49.6
eurlex4k,distilbert,1724896202.3763852,84.3,49.8
eurlex4k,distilbert,1724896460.0051243,71.3,50.1
eurlex4k,distilbert,1724896718.4300227,88.1,50.1
eurlex4k,distilbert,1724896977.7599776,72.1,50.4
eurlex4k,distilbert,1724897235.8850818,75.6,50.3
eurlex4k,distilbert,1724897492.3690295,74.1,50.3
eurlex4k,distilbert,1724897750.5038366,90.2,50.4
eurlex4k,distilbert,1724898009.6451137,77.7,50.2
eurlex4k,distilbert,1724898267.8156545,93.0,50.5
eurlex4k,distilbert,1724898527.1927965,85.0,50.5
eurlex4k,distilbert,1724898785.213631,76.5,50.7
eurlex4k,distilbert,1724899043.5117548,79.0,50.6
eurlex4k,distilbert,1724899300.7798202,75.8,50.6
eurlex4k,distilbert,1724899559.5251644,77.1,50.6
eurlex4k,bert-base,1724906726.4433093,80.8,60.5
eurlex4k,bert-base,1724907046.0173533,51.1,61.6
eurlex4k,bert-base,1724907358.2518349,57.4,60.5
eurlex4k,bert-base,1724907674.260996,51.3,61.2
eurlex4k,bert-base,1724907988.054074,62.7,61.2
eurlex4k,bert-base,1724908300.9720075,52.6,60.7
eurlex4k,bert-base,1724908615.285661,51.8,61.6
eurlex4k,bert-base,1724908929.8477252,60.7,61.4
eurlex4k,bert-base,1724909244.4092417,59.9,60.3
eurlex4k,bert-base,1724909558.8118482,87.6,61.0
eurlex4k,bert-base,1724909870.751391,93.7,61.0
eurlex4k,bert-base,1724910193.8788853,69.2,60.9
eurlex4k,bert-base,1724910516.3058136,52.4,61.8
