Model,Inference Time (s),Top-1 Accuracy,Top-3 Accuracy,Top-5 Accuracy
bert-base,181.9646179676056,0,0,0
xlnet,270.8300504684448,0,0,0
distilbert,146.30888056755066,0,0,0
bert-base,,0.8807436517533253,0.7740830310358726,0.6823760580411125
xlnet,,0.875906892382104,0.7682386134623136,0.6793833131801692
distilbert,,0.877720677146312,0.7690447400241838,0.6752418379685611
